main_category,orders,gmv,avg_review,late_rate
health_beauty,8608,1410897.87,4.235089153624543,0.07539498141263941
watches_gifts,5470,1261539.27,4.1267034990791895,0.07422303473491773
bed_bath_table,9167,1223852.92,4.0113536155202825,0.07516090323988218
sports_leisure,7490,1119060.16,4.233279613215149,0.06608811748998665
computers_accessories,6500,1030615.59,4.084093368372237,0.06415384615384616
furniture_decor,6213,884057.8,4.073698718988163,0.07178496700466763
housewares,5688,760680.24,4.204597701149425,0.0539732770745429
cool_stuff,3530,692902.01,4.227441462021702,0.05920679886685552
auto,3792,669221.9400000001,4.151563328033916,0.07331223628691984
garden_tools,3414,567542.45,4.194698085419735,0.06590509666080843
toys,3778,546339.39,4.240795090715048,0.06379036527263102
baby,2763,466203.02,4.122035753374681,0.08179515019905899
perfumery,3073,443861.79,4.266242246163892,0.06573381060852587
telephony,4076,379433.05,4.056021717670286,0.07139352306182532
office_furniture,1246,334080.2,3.6492718446601944,0.08105939004815409
stationery,2247,270092.54,4.30550581915846,0.06586559857587895
pet_shop,1682,251051.1,4.280167264038232,0.05112960760998811
computers,176,226944.66999999998,4.242774566473988,0.056818181818181816
musical_instruments,607,202118.21,4.247920133111481,0.0757825370675453
electronics,2507,202065.91,4.128617363344051,0.07658556043079377
small_appliances,606,197756.21,4.266222961730449,0.04785478547854786
unknown,1359,197572.73,4.0307407407407405,0.07137601177336277
fashion_bags_accessories,1810,179751.71,4.2427857935627085,0.05580110497237569
luggage_accessories,1008,167647.88,4.379482071713148,0.04265873015873016
consoles_games,1014,167034.11,4.184577114427861,0.0611439842209073
construction_tools_construction,728,163257.2,4.1320885200553255,0.07417582417582418
home_appliances_2,226,118008.4,4.155555555555556,0.061946902654867256
home_construction,466,94358.41,4.053879310344827,0.06223175965665236
home_appliances,747,93301.78,4.216173835125448,0.04417670682730924
furniture_living_room,409,85699.83,4.094059405940594,0.07579462102689487
agro_industry_and_commerce,177,76203.3,4.107344632768362,0.03954802259887006
home_confort,370,67305.68000000001,3.910326086956522,0.0945945945945946
fixed_telephony,212,59917.94,3.9665071770334928,0.04716981132075472
air_conditioning,245,59853.22,4.128630705394191,0.04081632653061224
kitchen_dining_laundry_garden_furniture,239,57329.64,4.135021097046414,0.04602510460251046
audio,344,56853.67,3.846041055718475,0.11918604651162791
books_general_interest,492,54095.57,4.538934426229508,0.06504065040650407
small_appliances_home_oven_and_coffee,72,49245.9,4.430555555555555,0.05555555555555555
construction_tools_lights,231,48202.81,4.214912280701754,0.06493506493506493
industry_commerce_and_business,228,45416.76,4.234513274336283,0.07017543859649122
construction_tools_safety,154,41813.42,4.019607843137255,0.025974025974025976
food,435,35338.54,4.324825986078887,0.07126436781609195
market_place,268,32874.85,4.116541353383458,0.041044776119402986
costruction_tools_garden,183,28954.34,4.278688524590164,0.0546448087431694
signaling_and_security,138,27893.81,4.116788321167883,0.043478260869565216
fashion_shoes,233,27715.88,4.286026200873362,0.04721030042918455
drinks,284,27581.08,4.257042253521127,0.0528169014084507
art,191,27018.72,4.126984126984127,0.06282722513089005
furniture_bedroom,89,23110.61,4.292134831460674,0.06741573033707865
books_technical,255,23021.03,4.425196850393701,0.08235294117647059
food_drink,218,19266.97,4.447247706422019,0.03669724770642202
costruction_tools_tools,97,17934.170000000002,4.425531914893617,0.061855670103092786
fashion_male_clothing,106,12514.95,3.8190476190476192,0.04716981132075472
christmas_supplies,125,11950.04,4.1138211382113825,0.08
fashion_underwear_beach,117,11160.02,4.008620689655173,0.09401709401709402
tablets_printing_image,77,8608.05,4.173333333333333,0.05194805194805195
cine_photo,63,8157.14,4.333333333333333,0.06349206349206349
music,37,6825.92,4.297297297297297,0.05405405405405406
furniture_mattress_and_upholstery,37,5904.75,3.891891891891892,0.13513513513513514
dvds_blu_ray,56,5892.04,4.196428571428571,0.07142857142857142
party_supplies,38,5398.66,4.078947368421052,0.0
books_imported,49,5117.51,4.510204081632653,0.02040816326530612
portateis_cozinha_e_preparadores_de_alimentos,13,4228.05,3.6153846153846154,0.07692307692307693
fashio_female_clothing,36,3302.39,3.9166666666666665,0.05555555555555555
la_cuisine,12,2516.16,4.545454545454546,0.0
fashion_sport,24,2503.33,4.541666666666667,0.041666666666666664
arts_and_craftmanship,22,2168.4700000000003,4.136363636363637,0.045454545454545456
diapers_and_hygiene,25,2046.19,3.96,0.0
flowers,29,1794.8999999999999,4.392857142857143,0.034482758620689655
pc_gamer,6,1280.0700000000002,3.8333333333333335,0.0
home_comfort_2,22,1131.4099999999999,3.9047619047619047,0.13636363636363635
cds_dvds_musicals,12,954.99,4.666666666666667,0.0
fashion_childrens_clothes,7,718.98,5.0,0.0
security_and_services,2,324.51,2.5,0.0
